McD_Pc,McD_Count,IRSAD_Pc_Decile,IRSAD_Pc_Prcntl,Pop_Pc,Peo_per_McD,1000_per_McD,McD_LGA
2170,11,4,34,105451,9586,9.6,Liverpool
2000,8,9,85,27411,3426,3.4,Sydney
4870,6,5,42,71009,11835,11.8,Tablelands
2250,6,6,58,67194,11199,11.2,Wyong
2148,6,5,45,63071,10512,10.5,Holroyd
4350,5,5,42,106745,21349,21.3,Toowoomba
3977,5,6,52,93326,18665,18.7,Greater Dandenong
4305,5,2,20,62549,12510,12.5,Ipswich
3199,5,6,51,54298,10860,10.9,Mornington Peninsula
2340,5,4,33,49072,9814,9.8,Upper Hunter Shire
2750,5,5,49,44806,8961,9.0,Penrith
4000,5,9,83,16552,3310,3.3,Brisbane
2560,4,3,30,76521,19130,19.1,Wollongong
2770,4,1,4,61296,15324,15.3,Penrith
4211,4,6,57,60801,15200,15.2,Tweed
2259,4,4,36,59513,14878,14.9,Wyong
2650,4,5,47,56974,14244,14.2,Wagga Wagga
3216,4,7,69,56284,14071,14.1,Surf Coast
4300,4,6,54,55669,13917,13.9,Logan
2444,4,5,43,46284,11571,11.6,Port Macquarie-Hastings
6107,4,6,55,43605,10901,10.9,South Perth
3550,4,4,35,40339,10085,10.1,Greater Bendigo
3000,4,8,78,37975,9494,9.5,Melbourne
2160,4,3,25,35973,8993,9.0,Parramatta
4218,4,8,74,31864,7966,8.0,Gold Coast
2233,4,9,89,29498,7375,7.4,Wollongong
2541,4,1,10,25641,6410,6.4,Shoalhaven
2020,4,9,87,14772,3693,3.7,Sydney
4740,3,5,42,80089,26696,26.7,Mackay
6210,3,4,33,68316,22772,22.8,Rockingham
6065,3,8,80,61998,20666,20.7,Wanneroo
3350,3,6,55,59145,19715,19.7,Moorabool
2155,3,10,98,55452,18484,18.5,The Hills Shire
3021,3,1,5,54191,18064,18.1,Melton
4209,3,7,61,50073,16691,16.7,Gold Coast
3020,3,2,11,44783,14928,14.9,Wyndham
2450,3,4,38,43894,14631,14.6,Coffs Harbour
4503,3,5,47,43651,14550,14.6,Moreton Bay
6230,3,4,38,43134,14378,14.4,Harvey
2747,3,5,48,42421,14140,14.1,Penrith
4500,3,7,66,42401,14134,14.1,Moreton Bay
5108,3,1,4,40609,13536,13.5,Salisbury
2830,3,4,38,40291,13430,13.4,Wellington
2567,3,9,81,38500,12833,12.8,Wollondilly
2035,3,9,88,34490,11497,11.5,Randwick
2760,3,2,19,33834,11278,11.3,Penrith
4226,3,8,74,32243,10748,10.7,Gold Coast
2150,3,8,75,31500,10500,10.5,The Hills Shire
4220,3,7,70,31233,10411,10.4,Gold Coast
2580,3,4,32,29224,9741,9.7,Yass Valley
4212,3,9,81,28053,9351,9.4,Gold Coast
2100,3,10,94,20911,6970,7.0,Warringah
2164,3,2,18,19624,6541,6.5,Holroyd
4558,3,5,41,19163,6388,6.4,Sunshine Coast
2113,3,10,93,18371,6124,6.1,Willoughby
5092,3,5,49,17569,5856,5.9,Tea Tree Gully
2304,3,4,33,15176,5059,5.1,Newcastle
5000,3,8,76,15115,5038,5.0,West Torrens
6104,3,6,56,14321,4774,4.8,Swan
6000,3,9,88,11425,3808,3.8,Vincent
4021,3,2,15,9790,3263,3.3,Moreton Bay
5168,3,2,15,5499,1833,1.8,Onkaparinga
2609,3,2,11,887,296,0.3,Queanbeyan
3029,2,6,55,93950,46975,47.0,Wyndham
4670,2,2,15,79606,39803,39.8,Gladstone
3023,2,6,51,63972,31986,32.0,Melton
3150,2,9,87,60079,30040,30.0,Whitehorse
6164,2,9,81,57214,28607,28.6,Serpentine-Jarrahdale
3805,2,6,56,56933,28467,28.5,Casey
4551,2,5,50,56733,28367,28.4,Sunshine Coast
2153,2,10,95,56562,28281,28.3,The Hills Shire
6112,2,6,54,56554,28277,28.3,Serpentine-Jarrahdale
3175,2,1,10,53297,26649,26.6,Monash
2166,2,1,4,52762,26381,26.4,Liverpool
2261,2,4,37,52754,26377,26.4,Wyong
6155,2,9,86,51244,25622,25.6,Melville
3037,2,6,59,51155,25578,25.6,Melton
6163,2,7,62,50359,25180,25.2,Melville
4215,2,4,31,50166,25083,25.1,Gold Coast
3806,2,8,79,48520,24260,24.3,Yarra Ranges
4510,2,1,10,48304,24152,24.2,Moreton Bay
3810,2,5,42,47894,23947,23.9,Cardinia
4152,2,9,90,44684,22342,22.3,Brisbane
2480,2,3,29,44599,22300,22.3,Tweed
4053,2,9,82,43986,21993,22.0,Moreton Bay
4122,2,8,77,43850,21925,21.9,Brisbane
2200,2,2,20,43687,21844,21.8,Liverpool
2168,2,1,7,43451,21726,21.7,Liverpool
2165,2,1,5,42444,21222,21.2,Holroyd
6027,2,9,83,41677,20839,20.8,Wanneroo
4217,2,7,68,40836,20418,20.4,Gold Coast
2500,2,7,64,40510,20255,20.3,Wollongong
2154,2,10,97,39594,19797,19.8,The Hills Shire
6030,2,7,63,39386,19693,19.7,Wanneroo
2077,2,9,89,37791,18896,18.9,Ku-ring-gai
4216,2,6,56,37435,18718,18.7,Gold Coast
4214,2,7,66,37238,18619,18.6,Gold Coast
2640,2,6,52,36343,18172,18.2,Wodonga
2147,2,7,61,36341,18171,18.2,The Hills Shire
2430,2,2,12,34018,17009,17.0,Port Macquarie-Hastings
3690,2,3,27,33518,16759,16.8,Albury
3152,2,9,82,33092,16546,16.5,Whitehorse
3072,2,7,66,32851,16426,16.4,Moreland
3500,2,2,12,32738,16369,16.4,Wentworth
6062,2,7,61,32670,16335,16.3,Swan
2617,2,9,89,32503,16252,16.3,ACT
2220,2,7,68,32487,16244,16.2,Rockdale
3076,2,5,41,32395,16198,16.2,Whittlesea
3130,2,9,86,32174,16087,16.1,Whitehorse
2530,2,4,39,32019,16010,16.0,Wollongong
2196,2,3,27,31815,15908,15.9,Canterbury
2486,2,4,33,31594,15797,15.8,Tweed
3280,2,4,36,31569,15785,15.8,Warrnambool
3630,2,2,12,31272,15636,15.6,Greater Shepparton
4077,2,1,5,30758,15379,15.4,Brisbane
2285,2,5,50,30714,15357,15.4,Newcastle
4817,2,6,51,30413,15207,15.2,Townsville
4118,2,4,38,30400,15200,15.2,Logan
2745,2,9,85,29504,14752,14.8,Wollondilly
3844,2,4,40,28980,14490,14.5,Wellington
3095,2,10,93,27771,13886,13.9,Nillumbik
3088,2,9,83,26892,13446,13.4,Whittlesea
4221,2,6,60,26802,13401,13.4,Gold Coast
2280,2,6,55,26678,13339,13.3,Lake Macquarie
2204,2,8,80,26502,13251,13.3,Rockdale
4116,2,9,82,25936,12968,13.0,Logan
3173,2,6,57,25785,12893,12.9,Kingston
2114,2,9,89,24057,12029,12.0,Ryde
3214,2,1,2,23964,11982,12.0,Greater Geelong
4575,2,7,66,23777,11889,11.9,Sunshine Coast
4074,2,9,89,23735,11868,11.9,Brisbane
2324,2,2,16,23648,11824,11.8,Port Stephens
4068,2,10,94,23617,11809,11.8,Brisbane
3145,2,10,96,23295,11648,11.6,Stonnington
3131,2,8,77,22504,11252,11.3,Whitehorse
3192,2,9,82,22291,11146,11.1,Kingston
4810,2,7,64,21836,10918,10.9,Townsville
3108,2,9,81,20826,10413,10.4,Whitehorse
3219,2,2,14,19715,9858,9.9,Greater Geelong
2289,2,8,77,19117,9559,9.6,Newcastle
4157,2,6,59,19035,9518,9.5,Redland
3006,2,10,95,18808,9404,9.4,Port Phillip
4812,2,3,30,18804,9402,9.4,Townsville
2322,2,3,28,18450,9225,9.2,Port Stephens
2228,2,9,81,18361,9181,9.2,Sutherland Shire
2539,2,3,26,17979,8990,9.0,Shoalhaven
7030,2,1,3,17404,8702,8.7,West Coast
6156,2,9,87,16897,8449,8.4,Melville
4030,2,9,89,16530,8265,8.3,Brisbane
4128,2,8,77,16506,8253,8.3,Redland
4032,2,7,65,15777,7889,7.9,Brisbane
2766,2,5,50,15534,7767,7.8,Penrith
3939,2,3,29,14524,7262,7.3,Mornington Peninsula
2281,2,4,39,14274,7137,7.1,Wyong
2264,2,4,38,14233,7117,7.1,Wyong
7249,2,3,23,12774,6387,6.4,Northern Midlands
2022,2,10,97,12507,6254,6.3,Woollahra
2582,2,9,81,12442,6221,6.2,Yass Valley
4014,2,8,78,11913,5957,6.0,Brisbane
2152,2,9,83,11215,5608,5.6,The Hills Shire
3672,2,2,16,10330,5165,5.2,Benalla
2705,2,3,24,10153,5077,5.1,Narrandera
4802,2,6,51,9832,4916,4.9,Whitsunday
3377,2,2,16,9416,4708,4.7,Northern Grampians
6225,2,2,12,9105,4553,4.6,Williams
2007,2,8,74,8845,4423,4.4,Sydney
4883,2,3,22,8428,4214,4.2,Tablelands
2044,2,9,88,7846,3923,3.9,Sydney
2548,2,5,43,7734,3867,3.9,Bega Valley
2327,2,1,5,7615,3808,3.8,Cessnock
4125,2,5,46,7142,3571,3.6,Logan
2601,2,10,100,6363,3182,3.2,ACT
2912,2,10,92,6142,3071,3.1,Yass Valley
3991,2,3,21,359,180,0.2,Bass Coast
3026,2,1,1,73,37,0.0,Wyndham
5950,1,#N/A,#N/A,#N/A,#N/A,#N/A,West Torrens
3030,1,7,67,100313,100313,100.3,Wyndham
2145,1,8,72,79211,79211,79.2,Parramatta
3064,1,4,36,75457,75457,75.5,Whittlesea
4207,1,3,23,55215,55215,55.2,Scenic Rim
4680,1,5,44,54166,54166,54.2,North Burnett
4814,1,6,52,46124,46124,46.1,Townsville
2800,1,5,47,44993,44993,45.0,Wellington
4034,1,7,69,44463,44463,44.5,Brisbane
3136,1,8,72,44369,44369,44.4,Yarra Ranges
2615,1,9,81,44177,44177,44.2,Yass Valley
4701,1,3,27,42762,42762,42.8,Rockhampton
2795,1,5,45,42550,42550,42.6,Upper Lachlan Shire
4570,1,2,12,42420,42420,42.4,Sunshine Coast
2570,1,9,83,40104,40104,40.1,Wollondilly
2620,1,8,75,39289,39289,39.3,Yass Valley
6056,1,4,39,39167,39167,39.2,Swan
6061,1,2,18,38563,38563,38.6,Wanneroo
3174,1,2,13,38461,38461,38.5,Monash
6018,1,10,91,38004,38004,38.0,Stirling
4109,1,7,67,37607,37607,37.6,Brisbane
3156,1,8,72,37464,37464,37.5,Yarra Ranges
2144,1,2,13,37366,37366,37.4,Parramatta
4017,1,7,67,36869,36869,36.9,Moreton Bay
4165,1,8,73,36815,36815,36.8,Redland
3337,1,3,21,36454,36454,36.5,Moorabool
3429,1,7,61,36297,36297,36.3,Melton
3195,1,9,88,35869,35869,35.9,Kingston
6330,1,5,42,35869,35869,35.9,Plantagenet
2913,1,10,92,35053,35053,35.1,Yass Valley
2171,1,8,80,34866,34866,34.9,Liverpool
6169,1,4,39,34667,34667,34.7,Rockingham
2320,1,5,44,34556,34556,34.6,Singleton
5162,1,3,23,34294,34294,34.3,Onkaparinga
3046,1,5,42,34063,34063,34.1,Moreland
5114,1,2,12,33959,33959,34.0,Tea Tree Gully
2756,1,7,63,33932,33932,33.9,The Hills Shire
4650,1,1,7,33891,33891,33.9,Gympie
3058,1,8,76,33778,33778,33.8,Moreland
3178,1,9,84,33672,33672,33.7,Monash
4069,1,10,98,33627,33627,33.6,Brisbane
3149,1,9,89,33611,33611,33.6,Whitehorse
2290,1,6,58,33426,33426,33.4,Newcastle
810,1,9,81,33302,33302,33.3,Darwin
5159,1,8,75,32934,32934,32.9,Onkaparinga
2232,1,9,88,32870,32870,32.9,Sutherland Shire
2251,1,8,72,32702,32702,32.7,Gosford
2026,1,10,98,32490,32490,32.5,Woollahra
6530,1,4,31,32455,32455,32.5,Northampton
4560,1,4,39,31710,31710,31.7,Sunshine Coast
6171,1,8,73,31653,31653,31.7,Serpentine-Jarrahdale
3083,1,7,67,31526,31526,31.5,Whittlesea
2761,1,6,59,30952,30952,31.0,Blacktown
2763,1,9,81,30880,30880,30.9,Blacktown
3204,1,10,91,30635,30635,30.6,Kingston
2234,1,10,94,30580,30580,30.6,Sutherland Shire
2602,1,10,91,30450,30450,30.5,ACT
2065,1,10,100,30119,30119,30.1,Willoughby
4509,1,8,77,30105,30105,30.1,Moreton Bay
6025,1,9,87,30031,30031,30.0,Joondalup
4113,1,8,74,29913,29913,29.9,Logan
3082,1,6,57,29710,29710,29.7,Whittlesea
3032,1,9,81,29450,29450,29.5,Moreland
2460,1,1,10,29216,29216,29.2,Richmond Valley
3028,1,4,39,29201,29201,29.2,Wyndham
4114,1,1,2,29064,29064,29.1,Logan
2257,1,5,41,29010,29010,29.0,Gosford
2230,1,10,92,28843,28843,28.8,Sutherland Shire
2229,1,9,90,28718,28718,28.7,Sutherland Shire
2141,1,6,53,28675,28675,28.7,Strathfield
2207,1,7,70,28534,28534,28.5,Rockdale
2325,1,1,9,28460,28460,28.5,Wyong
2478,1,6,51,28310,28310,28.3,Richmond Valley
4301,1,2,16,28240,28240,28.2,Ipswich
6280,1,5,45,28166,28166,28.2,Nannup
2216,1,7,66,28067,28067,28.1,Rockdale
2611,1,10,94,28018,28018,28.0,Yass Valley
2010,1,10,95,27734,27734,27.7,Woollahra
4051,1,10,92,27531,27531,27.5,Brisbane
3038,1,7,65,27262,27262,27.3,Brimbank
2195,1,1,9,27154,27154,27.2,Strathfield
7310,1,1,9,27101,27101,27.1,Latrobe
6167,1,3,26,26444,26444,26.4,Serpentine-Jarrahdale
2067,1,10,93,26403,26403,26.4,Willoughby
4127,1,5,43,26373,26373,26.4,Redland
2759,1,7,62,26332,26332,26.3,Penrith
2566,1,4,39,26327,26327,26.3,Liverpool
3012,1,7,65,26298,26298,26.3,Wyndham
2142,1,3,28,26292,26292,26.3,Parramatta
4573,1,8,72,26275,26275,26.3,Sunshine Coast
3040,1,9,90,25936,25936,25.9,Moreland
4078,1,6,58,25806,25806,25.8,Logan
2323,1,4,38,25735,25735,25.7,Newcastle
2190,1,3,27,25566,25566,25.6,Strathfield
3976,1,2,17,25530,25530,25.5,Greater Dandenong
5290,1,1,10,25512,25512,25.5,Mount Gambier
2350,1,6,54,25339,25339,25.3,Walcha
4178,1,6,59,25208,25208,25.2,Brisbane
3141,1,10,94,25147,25147,25.1,Yarra
5158,1,8,73,24735,24735,24.7,Onkaparinga
2017,1,9,86,24695,24695,24.7,Sydney
3101,1,10,97,24605,24605,24.6,Yarra
2194,1,4,33,24541,24541,24.5,Canterbury
